IQ-TREE multicore version 2.0.6 for Linux 64-bit built May 30 2020
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    node004 (AVX2, FMA3, 125 GB RAM)
Command: iqtree2 -s R9AP.doublefiltered.fasta.annot.clean.mafft.trimal -m MFP -mset Blosum62,cpREV,Dayhoff,DCMut,FLU,HIVb,HIVw,JTT,JTTDCMut,LG,mtART,mtMAM,mtREV,mtZOA,mtMet,mtVer,mtInv,Poisson,PMB,rtREV,VT,WAG,GTR20 -mrate E,I,G,I+G,R -B 1000 --wbtl --bnni --alrt 1000 --abayes -T AUTO --prefix R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB
Seed:    261925 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Apr  9 18:00:21 2021
Kernel:  AVX+FMA - auto-detect threads (12 CPU cores detected)

Reading alignment file R9AP.doublefiltered.fasta.annot.clean.mafft.trimal ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 19 sequences with 290 columns, 290 distinct patterns
252 parsimony-informative, 31 singleton sites, 7 constant sites
                                                                                                                                    Gap/Ambiguity  Composition  p-value
   1  MetazoaAnnelidaEP00103Capitellateleta_84286__R9BP_HUMAN_Regulator_of_G-protein_signaling_9-binding_protein_OS_                        4.83%    passed     18.54%
   2  MetazoaBrachiopodaLingulaunguis_1293888__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                            7.93%    passed     95.07%
   3  MetazoaEchinodermataAcanthasterplanci_3785627__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                     10.69%    passed     66.97%
   4  MetazoaEchinodermataAcanthasterplanci_3789889__R7BP_BOVIN_Regulator_of_G-protein_signaling_7-binding_protein_OS_                     20.34%    passed     12.77%
   5  MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3813798__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_   24.83%    passed     43.47%
   6  MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3830585__R9BP_HUMAN_Regulator_of_G-protein_signaling_9-binding_protein_OS_   11.38%    passed     33.37%
   7  MetazoaHemichordataSaccoglossuskowalevskii_4062999__R7BP_RAT_Regulator_of_G-protein_signaling_7-binding_protein_OS_                  15.86%    failed      1.23%
   8  MetazoaHemichordataSaccoglossuskowalevskii_4078919__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                30.69%    passed      6.95%
   9  MetazoaMolluscaLottiagigantea_4221559__R9BP_HUMAN_Regulator_of_G-protein_signaling_9-binding_protein_OS_                             23.79%    failed      0.47%
  10  MetazoaVertebrateDaniorerio_5421883__R9BPB_XENLA_Regulator_of_G-protein_signaling_9-binding_protein_B_OS_                            12.76%    passed      9.15%
  11  MetazoaVertebrateDaniorerio_5422302__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                               20.00%    passed     12.78%
  12  MetazoaVertebrateDaniorerio_5430385__R7BPA_DANRE_Regulator_of_G-protein_signaling_7-binding_protein_A_OS_                            22.07%    passed     89.75%
  13  MetazoaVertebrateDaniorerio_5431775__R9BP_DANRE_Regulator_of_G-protein_signaling_9-binding_protein_OS_                               21.38%    failed      1.19%
  14  MetazoaVertebrateEptatretusburgeri_6382680__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                        15.52%    failed      0.49%
  15  MetazoaVertebrateEptatretusburgeri_6390864__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                        20.34%    passed      8.97%
  16  MetazoaVertebrateHomosapiens_6460820__R7BP_HUMAN_Regulator_of_G-protein_signaling_7-binding_protein_OS_                              19.31%    passed     33.67%
  17  MetazoaVertebrateHomosapiens_6461538__R9BP_HUMAN_Regulator_of_G-protein_signaling_9-binding_protein_OS_                              18.97%    failed      0.01%
  18  MetazoaVertebrateMusmusculus_6535218__R9BP_MOUSE_Regulator_of_G-protein_signaling_9-binding_protein_OS_                              18.28%    failed      0.00%
  19  MetazoaVertebrateMusmusculus_6540712__R7BP_MOUSE_Regulator_of_G-protein_signaling_7-binding_protein_OS_                              19.31%    passed     63.73%
****  TOTAL                                                                                                                                17.80%  6 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.007 seconds
Measuring multi-threading efficiency up to 12 CPU cores
Increase to 10 rounds for branch lengths
158 trees examined
Threads: 1 / Time: 12.031 sec / Speedup: 1.000 / Efficiency: 100% / LogL: -9996
Threads: 2 / Time: 6.876 sec / Speedup: 1.750 / Efficiency: 87% / LogL: -9996
Threads: 3 / Time: 5.271 sec / Speedup: 2.283 / Efficiency: 76% / LogL: -9996
Threads: 4 / Time: 4.574 sec / Speedup: 2.630 / Efficiency: 66% / LogL: -9996
Threads: 5 / Time: 4.332 sec / Speedup: 2.777 / Efficiency: 56% / LogL: -9996
Threads: 6 / Time: 4.050 sec / Speedup: 2.971 / Efficiency: 50% / LogL: -9996
BEST NUMBER OF THREADS: 5

Perform fast likelihood tree search using LG+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -8472.522
Optimal log-likelihood: -8472.445
Proportion of invariable sites: 0.015
Gamma shape alpha: 2.472
Parameters optimization took 1 rounds (0.009 sec)
Time for fast ML tree search: 0.066 seconds

NOTE: ModelFinder requires 10 MB RAM!
ModelFinder will test up to 598 protein models (sample size: 290) ...
 No. Model         -LnL         df  AIC          AICc         BIC
159  HIVw+G4       8987.743     36  18047.487    18058.017    18179.603
160  HIVw+I+G4     8977.502     37  18029.003    18040.162    18164.789
161  HIVw+R2       9000.492     37  18074.983    18086.142    18210.769
162  HIVw+R3       8977.376     39  18032.751    18045.231    18175.877
163  HIVw+R4       8977.161     41  18036.323    18050.210    18186.788
170  HIVw+F        8873.758     54  17855.515    17880.792    18053.689
171  HIVw+F+I      8828.405     55  17766.810    17793.134    17968.653
172  HIVw+F+G4     8709.015     55  17528.029    17554.354    17729.873
173  HIVw+F+I+G4   8698.090     56  17508.181    17535.580    17713.694
174  HIVw+F+R2     8719.574     56  17551.148    17578.547    17756.661
175  HIVw+F+R3     8702.088     58  17520.176    17549.804    17733.029
176  HIVw+F+R4     8697.696     60  17515.392    17547.357    17735.585
183  JTT           8547.737     35  17165.474    17175.395    17293.919
184  JTT+I         8518.024     36  17108.049    17118.578    17240.164
185  JTT+G4        8452.137     36  16976.273    16986.803    17108.389
186  JTT+I+G4      8444.835     37  16963.671    16974.830    17099.457
187  JTT+R2        8453.193     37  16980.385    16991.544    17116.171
188  JTT+R3        8447.220     39  16972.440    16984.920    17115.565
189  JTT+R4        8446.886     41  16975.772    16989.659    17126.237
196  JTT+F         8499.426     54  17106.853    17132.129    17305.026
197  JTT+F+I       8469.491     55  17048.981    17075.306    17250.824
198  JTT+F+G4      8404.645     55  16919.291    16945.615    17121.134
199  JTT+F+I+G4    8397.214     56  16906.427    16933.826    17111.941
200  JTT+F+R2      8404.698     56  16921.395    16948.794    17126.908
201  JTT+F+R3      8399.273     58  16914.545    16944.173    17127.398
209  JTTDCMut      8549.911     35  17169.822    17179.743    17298.267
210  JTTDCMut+I    8520.693     36  17113.386    17123.916    17245.502
211  JTTDCMut+G4   8454.574     36  16981.148    16991.677    17113.264
212  JTTDCMut+I+G4 8447.418     37  16968.835    16979.994    17104.621
213  JTTDCMut+R2   8455.859     37  16985.718    16996.877    17121.504
214  JTTDCMut+R3   8449.815     39  16977.629    16990.109    17120.755
215  JTTDCMut+R4   8449.447     41  16980.894    16994.781    17131.359
222  JTTDCMut+F    8499.426     54  17106.852    17132.129    17305.026
223  JTTDCMut+F+I  8470.056     55  17050.111    17076.436    17251.955
224  JTTDCMut+F+G4 8404.937     55  16919.874    16946.198    17121.717
225  JTTDCMut+F+I+G4 8397.694     56  16907.388    16934.787    17112.901
226  JTTDCMut+F+R2 8405.128     56  16922.255    16949.654    17127.769
227  JTTDCMut+F+R3 8399.669     58  16915.338    16944.965    17128.191
235  LG            8590.089     35  17250.179    17260.100    17378.624
236  LG+I          8558.980     36  17189.960    17200.490    17322.076
237  LG+G4         8479.406     36  17030.813    17041.342    17162.928
238  LG+I+G4       8472.444     37  17018.888    17030.047    17154.674
239  LG+R2         8481.430     37  17036.860    17048.019    17172.646
240  LG+R3         8472.984     39  17023.969    17036.449    17167.094
241  LG+R4         8472.896     41  17027.792    17041.679    17178.257
248  LG+F          8537.894     54  17183.788    17209.065    17381.962
249  LG+F+I        8506.651     55  17123.302    17149.627    17325.145
250  LG+F+G4       8427.524     55  16965.047    16991.372    17166.891
251  LG+F+I+G4     8420.284     56  16952.567    16979.967    17158.081
252  LG+F+R2       8429.521     56  16971.042    16998.441    17176.555
253  LG+F+R3       8420.930     58  16957.861    16987.488    17170.714
254  LG+F+R4       8420.883     60  16961.767    16993.732    17181.960
261  mtART         9397.659     35  18865.318    18875.239    18993.763
262  mtART+I       9350.696     36  18773.393    18783.922    18905.508
263  mtART+G4      9050.934     36  18173.867    18184.397    18305.983
264  mtART+I+G4    9044.788     37  18163.575    18174.734    18299.361
265  mtART+R2      9084.622     37  18243.243    18254.402    18379.029
266  mtART+R3      9045.043     39  18168.086    18180.566    18311.211
267  mtART+R4      9044.754     41  18171.508    18185.395    18321.973
274  mtART+F       8899.755     54  17907.509    17932.786    18105.683
275  mtART+F+I     8859.969     55  17829.938    17856.263    18031.782
276  mtART+F+G4    8618.280     55  17346.560    17372.885    17548.404
277  mtART+F+I+G4  8613.422     56  17338.843    17366.242    17544.356
278  mtART+F+R2    8656.541     56  17425.081    17452.481    17630.595
279  mtART+F+R3    8615.991     58  17347.983    17377.611    17560.836
280  mtART+F+R4    8611.623     60  17343.246    17375.211    17563.439
287  mtMAM         9429.129     35  18928.259    18938.180    19056.705
288  mtMAM+I       9381.076     36  18834.152    18844.682    18966.268
289  mtMAM+G4      9096.690     36  18265.380    18275.910    18397.496
290  mtMAM+I+G4    9089.975     37  18253.949    18265.108    18389.735
291  mtMAM+R2      9138.598     37  18351.196    18362.355    18486.981
292  mtMAM+R3      9090.943     39  18259.886    18272.366    18403.011
293  mtMAM+R4      9089.875     41  18261.751    18275.638    18412.216
300  mtMAM+F       8890.284     54  17888.569    17913.845    18086.742
301  mtMAM+F+I     8848.960     55  17807.919    17834.244    18009.763
302  mtMAM+F+G4    8640.137     55  17390.274    17416.598    17592.117
303  mtMAM+F+I+G4  8633.687     56  17379.374    17406.773    17584.887
304  mtMAM+F+R2    8676.366     56  17464.731    17492.130    17670.244
305  mtMAM+F+R3    8635.853     58  17387.707    17417.334    17600.560
306  mtMAM+F+R4    8634.736     60  17389.473    17421.438    17609.666
313  mtREV         9157.648     35  18385.295    18395.216    18513.741
314  mtREV+I       9121.090     36  18314.181    18324.711    18446.297
315  mtREV+G4      8958.121     36  17988.243    17998.773    18120.359
316  mtREV+I+G4    8951.270     37  17976.540    17987.698    18112.325
317  mtREV+R2      8969.191     37  18012.382    18023.540    18148.167
318  mtREV+R3      8951.321     39  17980.643    17993.123    18123.768
319  mtREV+R4      8951.384     41  17984.767    17998.654    18135.232
326  mtREV+F       8692.185     54  17492.370    17517.647    17690.544
327  mtREV+F+I     8663.297     55  17436.594    17462.919    17638.438
328  mtREV+F+G4    8530.344     55  17170.688    17197.012    17372.531
329  mtREV+F+I+G4  8525.192     56  17162.385    17189.784    17367.898
330  mtREV+F+R2    8541.175     56  17194.351    17221.750    17399.864
331  mtREV+F+R3    8526.473     58  17168.947    17198.574    17381.800
332  mtREV+F+R4    8524.581     60  17169.163    17201.128    17389.355
339  mtZOA         9107.424     35  18284.849    18294.770    18413.295
340  mtZOA+I       9063.819     36  18199.638    18210.168    18331.754
341  mtZOA+G4      8833.845     36  17739.689    17750.219    17871.805
342  mtZOA+I+G4    8827.719     37  17729.438    17740.597    17865.224
343  mtZOA+R2      8853.725     37  17781.449    17792.608    17917.235
344  mtZOA+R3      8826.768     39  17731.536    17744.016    17874.661
345  mtZOA+R4      8826.819     41  17735.638    17749.525    17886.103
352  mtZOA+F       8747.375     54  17602.751    17628.027    17800.924
353  mtZOA+F+I     8712.059     55  17534.118    17560.443    17735.962
354  mtZOA+F+G4    8529.146     55  17168.291    17194.616    17370.135
355  mtZOA+F+I+G4  8524.284     56  17160.568    17187.968    17366.082
356  mtZOA+F+R2    8555.478     56  17222.956    17250.355    17428.469
357  mtZOA+F+R3    8525.971     58  17167.941    17197.569    17380.794
358  mtZOA+F+R4    8524.010     60  17168.020    17199.985    17388.213
365  mtMet         9170.848     35  18411.696    18421.618    18540.142
366  mtMet+I       9130.995     36  18333.990    18344.520    18466.106
367  mtMet+G4      8950.761     36  17973.521    17984.051    18105.637
368  mtMet+I+G4    8944.325     37  17962.651    17973.809    18098.436
369  mtMet+R2      8967.034     37  18008.068    18019.227    18143.854
370  mtMet+R3      8942.867     39  17963.734    17976.214    18106.859
371  mtMet+R4      8942.981     41  17967.962    17981.849    18118.427
378  mtMet+F       8672.739     54  17453.478    17478.755    17651.652
379  mtMet+F+I     8639.187     55  17388.373    17414.698    17590.217
380  mtMet+F+G4    8497.773     55  17105.546    17131.870    17307.389
381  mtMet+F+I+G4  8492.182     56  17096.365    17123.764    17301.878
382  mtMet+F+R2    8513.663     56  17139.326    17166.725    17344.840
383  mtMet+F+R3    8493.538     58  17103.076    17132.704    17315.929
384  mtMet+F+R4    8493.365     60  17106.731    17138.696    17326.924
391  mtVer         9270.768     35  18611.536    18621.457    18739.982
392  mtVer+I       9227.726     36  18527.451    18537.981    18659.567
393  mtVer+G4      9016.259     36  18104.518    18115.048    18236.634
394  mtVer+I+G4    9009.888     37  18093.775    18104.934    18229.561
395  mtVer+R2      9039.390     37  18152.781    18163.939    18288.566
396  mtVer+R3      9007.639     39  18093.279    18105.759    18236.404
397  mtVer+R4      9007.725     41  18097.450    18111.337    18247.915
404  mtVer+F       8787.678     54  17683.356    17708.633    17881.530
405  mtVer+F+I     8752.655     55  17615.311    17641.635    17817.154
406  mtVer+F+G4    8582.993     55  17275.986    17302.311    17477.830
407  mtVer+F+I+G4  8578.274     56  17268.547    17295.946    17474.060
408  mtVer+F+R2    8604.729     56  17321.458    17348.857    17526.971
409  mtVer+F+R3    8579.475     58  17274.950    17304.578    17487.803
410  mtVer+F+R4    8578.557     60  17277.114    17309.079    17497.306
417  mtInv         9193.020     35  18456.041    18465.962    18584.487
418  mtInv+I       9157.112     36  18386.224    18396.753    18518.339
419  mtInv+G4      9005.746     36  18083.492    18094.022    18215.608
420  mtInv+I+G4    8999.694     37  18073.388    18084.547    18209.174
421  mtInv+R2      9015.223     37  18104.447    18115.606    18240.232
422  mtInv+R3      8997.581     39  18073.162    18085.642    18216.287
423  mtInv+R4      8993.935     41  18069.869    18083.756    18220.334
430  mtInv+F       8608.243     54  17324.487    17349.763    17522.660
431  mtInv+F+I     8578.733     55  17267.466    17293.791    17469.309
432  mtInv+F+G4    8460.076     55  17030.153    17056.477    17231.996
433  mtInv+F+I+G4  8455.147     56  17022.294    17049.694    17227.808
434  mtInv+F+R2    8471.097     56  17054.194    17081.593    17259.708
435  mtInv+F+R3    8455.633     58  17027.266    17056.894    17240.119
436  mtInv+F+R4    8455.706     60  17031.412    17063.377    17251.605
443  Poisson       9242.849     35  18555.698    18565.619    18684.144
444  Poisson+I     9217.923     36  18507.846    18518.376    18639.962
445  Poisson+G4    9172.657     36  18417.313    18427.843    18549.429
446  Poisson+I+G4  9166.439     37  18406.878    18418.037    18542.664
447  Poisson+R2    9166.986     37  18407.972    18419.131    18543.758
448  Poisson+R3    9164.195     39  18406.390    18418.870    18549.516
456  Poisson+F     8996.447     54  18100.893    18126.170    18299.067
457  Poisson+F+I   8971.293     55  18052.585    18078.910    18254.429
458  Poisson+F+G4  8919.444     55  17948.888    17975.212    18150.731
459  Poisson+F+I+G4 8913.804     56  17939.608    17967.007    18145.122
460  Poisson+F+R2  8915.699     56  17943.397    17970.797    18148.911
461  Poisson+F+R3  8911.623     58  17939.245    17968.873    18152.098
469  PMB           8601.615     35  17273.230    17283.151    17401.676
470  PMB+I         8576.037     36  17224.075    17234.604    17356.190
471  PMB+G4        8528.320     36  17128.641    17139.170    17260.756
472  PMB+I+G4      8521.125     37  17116.250    17127.408    17252.035
473  PMB+R2        8523.773     37  17121.547    17132.705    17257.332
474  PMB+R3        8522.488     39  17122.976    17135.456    17266.101
