gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
ChoanoflagellataEP00035Acanthoecaspectabilis_10737551__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaAnnelidaEP00103Capitellateleta_58147__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaBrachiopodaLingulaunguis_1285267__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
RotosphaeridaEP00160Parvulariaatlantis_23172701__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2822918__ADH1_GEOSE_Alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaAnnelidaEP00103Capitellateleta_58148__ADH2_GEOSE_Alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaPoriferaLeucosoleniacomplicata_5051793_	OG2	1.0		
CryptophyceaeEP00290BaffinellaspCCMP2293_12033950__ADH3_GEOSE_Alcohol_dehydrogenase_OS_	OG3	1.0		
FungiMortierellaelongataUP000078512_13374923__ADH3_GEOSE_Alcohol_dehydrogenase_OS_	OG3	1.0		
FungiMortierellaelongataUP000078512_13372164__ADH3_GEOSE_Alcohol_dehydrogenase_OS_	OG3	1.0		
MetazoaPoriferaLeucosoleniacomplicata_4984546__YBI2_SCHPO_Zinc-type_alcohol_dehydrogenase-like_protein_C16A3.02c_OS_	OG4	1.0		
RigifilidaEP00004Rigifilaramosa_23126860_	OG4	1.0		
CryptophyceaeGuillardiathetaUP000011087_12246951__MECR1_CAEEL_Enoyl-_acyl-carrier-protein__reductase__mitochondrial_OS_	OG4	1.0		
FungiFusariumoxysporumUP000002489_13365293__ADH1_GEOSE_Alcohol_dehydrogenase_OS_	OG5	1.0		
EuglenozoaEP00668Euglenalonga_12392134__ADH1_GEOSE_Alcohol_dehydrogenase_OS_	OG5	1.0		
EuglenozoaEP00668Euglenalonga_12392133__DHSO2_YEAST_Sorbitol_dehydrogenase_2_OS_	OG5	1.0		
FungiFusariumoxysporumUP000002489_13364989__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG5	1.0		
ChoanoflagellataEP00045Choanoecaperplexa_11096015__YPHC_ECOLI_Uncharacterized_zinc-type_alcohol_dehydrogenase-like_protein_YphC_OS_	OG6	1.0		
MetazoaCnidariaGorgoniaventalina_3210257__IDND_ECOLI_L-idonate_5-dehydrogenase__NAD_P______OS_	OG6	1.0		
RhodophytaEP00185Porphyridiumpurpureum_23050050__XYL2_PICST_D-xylulose_reductase_OS_	OG6	1.0		
AmoebozoaEP00029Vermamoebavermiformis_5278345__BDH1_YEAST__R_R_-butanediol_dehydrogenase_OS_	OG6	1.0		
RigifilidaEP00004Rigifilaramosa_23145483__TDH_BACSU_L-threonine_3-dehydrogenase_OS_	OG6	1.0		
RhodophytaEP00185Porphyridiumpurpureum_23048415__ATRDH_AGRFC_D-altritol_5-dehydrogenase_OS_	OG6	1.0		
GlaucophytaEP00276Gloeochaetewittrockiana_13496724__DHSO2_YEAST_Sorbitol_dehydrogenase_2_OS_	OG6	1.0		
EuglenozoaEP00668Euglenalonga_12434743__DHSO_BACHD_Sorbitol_dehydrogenase_OS_	OG6	1.0		
CryptophyceaeGuillardiathetaUP000011087_12254220__TDH_VIBVY_L-threonine_3-dehydrogenase_OS_	OG6	1.0		
HaptophytaEP00327Prymnesiumparvum_14307036__YCJQ_ECOLI_D-guloside_3-dehydrogenase_OS_	OG6	1.0		
CryptophyceaeEP00290BaffinellaspCCMP2293_12075089__TDH_ANAD2_L-threonine_3-dehydrogenase_OS_	OG6	1.0		
GlaucophytaEP00276Gloeochaetewittrockiana_13478737__BDH1_YEAST__R_R_-butanediol_dehydrogenase_OS_	OG6	1.0		
RigifilidaEP00004Rigifilaramosa_23131718__DOIAD_STRKN_2-deoxy-scyllo-inosamine_dehydrogenase_OS_	OG6	1.0		
MetazoaArthropodaDrosophilamelanogaster_242050__DHSO_MACFA_Sorbitol_dehydrogenase_OS_	OG6	1.0		
MetazoaCnidariaGorgoniaventalina_3219800__FADH_METMR_S-_hydroxymethyl_glutathione_dehydrogenase_OS_	OG6	1.0		
CryptophyceaeEP00290BaffinellaspCCMP2293_12040634__TDH_PSEA6_L-threonine_3-dehydrogenase_OS_	OG6	1.0		
RhodophytaGaldieriasulphurariaUP000030680_23114989__XYL2_ASPTN_Probable_D-xylulose_reductase_A_OS_	OG6	1.0		
CentroplasthelidaEP00300ChoanocystisspHF7_5600336__TDH_XANC5_L-threonine_3-dehydrogenase_OS_	OG6	1.0		
ChoanoflagellataEP00045Choanoecaperplexa_11096016__YPHC_ECOLI_Uncharacterized_zinc-type_alcohol_dehydrogenase-like_protein_YphC_OS_	OG6	1.0		
RhodophytaGaldieriasulphurariaUP000030680_23112708__SUCD_METS5_Succinate-semialdehyde_dehydrogenase__acetylating__OS_	OG7	1.0		
ChloroplastidaEP00248Marchantiapolymorpha_7477261__SUCD_METS5_Succinate-semialdehyde_dehydrogenase__acetylating__OS_	OG7	1.0		
RigifilidaEP00004Rigifilaramosa_23142823__SUCD_METS5_Succinate-semialdehyde_dehydrogenase__acetylating__OS_	OG7	1.0		
AlveolataEP00742ColponemidiaspColp10_4275480__SUCD_METS5_Succinate-semialdehyde_dehydrogenase__acetylating__OS_	OG7	1.0		
ChloroplastidaArabidopsisthalianaUP000006548_5879384__SUCD_METS5_Succinate-semialdehyde_dehydrogenase__acetylating__OS_	OG7	1.0		
MetazoaBryozoaBugulaneritina_2602747__DHSO_RAT_Sorbitol_dehydrogenase_OS_	OG8	1.0		
MetazoaCnidariaFungiascutaria_3180015__QOR_PSEAE_Quinone_oxidoreductase_OS_	OG8	1.0		
ChloroplastidaEP00248Marchantiapolymorpha_7459547__FDEH_PSEPU_5-exo-hydroxycamphor_dehydrogenase_OS_	OG9	1.0		
ChoanoflagellataEP00035Acanthoecaspectabilis_10741913__IDND_ECOLI_L-idonate_5-dehydrogenase__NAD_P______OS_	OG9	1.0		
MetazoaCnidariaGorgoniaventalina_3223646__FDEH_PSEPU_5-exo-hydroxycamphor_dehydrogenase_OS_	OG9	1.0		
MetazoaBryozoaBugulaneritina_1973399__TDH_PYRHO_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
FilastreaCapsasporaowczarzakiUP000008743_12980288__FDEH_PSEPU_5-exo-hydroxycamphor_dehydrogenase_OS_	OG9	1.0		
MetazoaCnidariaAcroporadigitifera_2927302__TDH_COLP3_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
MetazoaCnidariaNematostellavectensis_3377803__XYL2_ASPCL_Probable_D-xylulose_reductase_A_OS_	OG9	1.0		
MetazoaPoriferaLeucosoleniacomplicata_5001200__TDH_PROMH_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
MetazoaArthropodaEP00090Calanusglacialis_678237__ADH_STAAM_Alcohol_dehydrogenase_OS_	OG9	1.0		
MetazoaCnidariaFungiascutaria_3185289__TDH_VIBC3_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
MetazoaEchinodermataAcanthasterplanci_3783441__TDH_LEGPH_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
MetazoaCnidariaAnthopleuraelegantissima_3001748__ADHC_MYCTU_NADP-dependent_alcohol_dehydrogenase_C_OS_	OG9	1.0		
MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3816649__TDH_FRAP2_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2797734__TDH_ESCF3_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
ChoanoflagellataEP00047Mylnosigafluctuans_11131964__ADHC_MYCTU_NADP-dependent_alcohol_dehydrogenase_C_OS_	OG9	1.0		
MetazoaUrochordataEP00059Cionaintestinalis_5337330__TDH_LEGPL_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
MetazoaBrachiopodaLingulaunguis_1289689__TDH_PROMH_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
MetazoaPoriferaSyconciliatum_5124429__DHSO_BACSU_Sorbitol_dehydrogenase_OS_	OG9	1.0		
MetazoaCnidariaPoritesaustraliensis_3539967__ATRDH_AGRFC_D-altritol_5-dehydrogenase_OS_	OG9	1.0		
MetazoaBrachiopodaLingulaunguis_1289685__ARPD_ENTAV_D-arabitol-phosphate_dehydrogenase_OS_	OG9	1.0		
MetazoaCnidariaStylophorapistillata_3681367__TDH_RHILO_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
ChoanoflagellataEP00037Helgoecanana_10819085__PHNW_BACV8_2-aminoethylphosphonate--pyruvate_transaminase_OS_	OG9	1.0		
MetazoaUrochordataOikopleuradioica_5363909__DHSO_BACHD_Sorbitol_dehydrogenase_OS_	OG9	1.0		
MetazoaRotiferaBrachionusplicatilis_5242547__TDH_VIBC3_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
ChoanoflagellataEP00050Salpingoecakvevrii_11202337__TDH_PSEHT_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
MetazoaCnidariaAnthopleuraelegantissima_3021231__IDND_ECOLI_L-idonate_5-dehydrogenase__NAD_P______OS_	OG9	1.0		
MetazoaCnidariaAureliaGenome_3049987__DHSO_BOMMO_Sorbitol_dehydrogenase_OS_	OG9	1.0		
MetazoaPoriferaEP00118Oscarellapearsei_4823342__TDH_EDWI9_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
MetazoaHemichordataSaccoglossuskowalevskii_4080553__LRP4_MOUSE_Low-density_lipoprotein_receptor-related_protein_4_OS_	OG9	1.0		
AlveolataEP00742ColponemidiaspColp10_4279473__TDH_ENT38_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
MetazoaCnidariaMadracisauretenra_3290357__TDH_PSEHT_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
ChoanoflagellataEP00039Didymoecacostata_10881246__TDH_LEGPC_L-threonine_3-dehydrogenase_OS_	OG9	1.0		
RhizariaEP00473Plasmodiophorabrassicae_22118423__FDEH_PSEPU_5-exo-hydroxycamphor_dehydrogenase_OS_	OG9	1.0		
StramenopilesPhytophthorainfestansUP000006643_26381868__ADH2_CANAL_Alcohol_dehydrogenase_2_OS_	OG10	1.0		
MetazoaCnidariaAstreoporasp_3040628__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaAcoelaHofsteniamiamia_17600__TDH_CALS4_L-threonine_3-dehydrogenase_OS_	OG10	1.0		
MetazoaMolluscaLottiagigantea_4208197__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaMadracisauretenra_3278549__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaStylophorapistillata_3664155__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3825590__Y4BF_SINFN_Putative_transposase_y4bF_OS_	OG10	1.0		
FungiSaccharomycescerevisiaeUP000002311_13447680__BDH1_YEAST__R_R_-butanediol_dehydrogenase_OS_	OG10	1.0		
MetazoaAcoelaHofsteniamiamia_1859__XYL2_ASPCL_Probable_D-xylulose_reductase_A_OS_	OG10	1.0		
MetazoaCnidariaMontastraeacavernosa_3313773__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaPlacozoaEP00114TrichoplaxspH2_4514636__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaNematostellavectensis_3375501__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaFungiascutaria_3185547__Y1895_MYCTU_Probable_zinc-binding_alcohol_dehydrogenase_Rv1895_OS_	OG10	1.0		
MetazoaUrochordataEP00059Cionaintestinalis_5335529__ATRDH_AGRFC_D-altritol_5-dehydrogenase_OS_	OG10	1.0		
MetazoaAcoelaHofsteniamiamia_17589__DHSO_BACHD_Sorbitol_dehydrogenase_OS_	OG10	1.0		
RhodophytaGaldieriasulphurariaUP000030680_23113944__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaAstreoporasp_3044476__Y1895_MYCTU_Probable_zinc-binding_alcohol_dehydrogenase_Rv1895_OS_	OG10	1.0		
MetazoaAcoelaHofsteniamiamia_19566__TDH_THET2_L-threonine_3-dehydrogenase_OS_	OG10	1.0		
MetazoaCnidariaMadracisauretenra_3286879__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaHydramagnapapillata_3257439__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaMadracisauretenra_3278548__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaFungiascutaria_3203828__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaAureliaGenome_3050412__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaAcoelaHofsteniamiamia_8777__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
FungiFusariumoxysporumUP000002489_13367708__BDH2_YEAST_Probable_diacetyl_reductase___R_-acetoin_forming__2_OS_	OG10	1.0		
FungiFusariumoxysporumUP000002489_13353499__BDH1_YEAST__R_R_-butanediol_dehydrogenase_OS_	OG10	1.0		
FungiSaccharomycescerevisiaeUP000002311_13447679__BDH2_YEAST_Probable_diacetyl_reductase___R_-acetoin_forming__2_OS_	OG10	1.0		
FungiFusariumoxysporumUP000002489_13354433__BDH1_YEAST__R_R_-butanediol_dehydrogenase_OS_	OG10	1.0		
MetazoaUrochordataOikopleuradioica_5359641__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2823072__ATRDH_AGRFC_D-altritol_5-dehydrogenase_OS_	OG10	1.0		
MetazoaCnidariaAureliaGenome_3063905__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaMolluscaLottiagigantea_4222165__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaClytiahemisphaerica_3084264__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaPlacozoaHoilungiahongkongensis_4531717__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaNematostellavectensis_3387544__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaAstreoporasp_3024381__DHSO_ARATH_Sorbitol_dehydrogenase_OS_	OG10	1.0		
MetazoaCnidariaPoritesaustraliensis_3539628__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaAcoelaHofsteniamiamia_1686__CREB3_HUMAN_Cyclic_AMP-responsive_element-binding_protein_3_OS_	OG10	1.0		
MetazoaAcoelaHofsteniamiamia_11953__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaClytiahemisphaerica_3084263__YJMD_BACSU_Uncharacterized_zinc-type_alcohol_dehydrogenase-like_protein_YjmD_OS_	OG10	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2822938__TDH_THEKO_L-threonine_3-dehydrogenase_OS_	OG10	1.0		
MetazoaMolluscaLottiagigantea_4213751__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaMontastraeacavernosa_3347571__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2819018__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaAureliaGenome_3050297__XYL2_NEOFI_Probable_D-xylulose_reductase_A_OS_	OG10	1.0		
MetazoaAcoelaHofsteniamiamia_6458__ARPD_ENTAV_D-arabitol-phosphate_dehydrogenase_OS_	OG10	1.0		
MetazoaAcoelaHofsteniamiamia_19208__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2823039__DHSO_BACHD_Sorbitol_dehydrogenase_OS_	OG10	1.0		
MetazoaCnidariaClytiahemisphaerica_3083359__ATRDH_AGRFC_D-altritol_5-dehydrogenase_OS_	OG10	1.0		
MetazoaAcoelaHofsteniamiamia_11196__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaGorgoniaventalina_3232770__RSPB_ECOLI_Starvation-sensing_protein_RspB_OS_	OG10	1.0		
MetazoaCnidariaAstreoporasp_3028993__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaAstreoporasp_3044475__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaAureliaGenome_3050299__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaPoritesaustraliensis_3539895__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaArthropodaEP00090Calanusglacialis_704415__YDJJ_ECOLI_Uncharacterized_zinc-type_alcohol_dehydrogenase-like_protein_YdjJ_OS_	OG10	1.0		
MetazoaAcoelaHofsteniamiamia_17578__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaPlacozoaHoilungiahongkongensis_4531718__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaCnidariaAcroporadigitifera_2926004__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaAcoelaHofsteniamiamia_482__XYL2_ASPFU_Probable_D-xylulose_reductase_A_OS_	OG10	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2823040__DHSO_BACHD_Sorbitol_dehydrogenase_OS_	OG10	1.0		
MetazoaCnidariaMontastraeacavernosa_3313774__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
FungiRhizopusmicrosporusUP000242254_13433264__TDH_THEKO_L-threonine_3-dehydrogenase_OS_	OG10	1.0		
MetazoaUrochordataEP00059Cionaintestinalis_5335442__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
MetazoaAcoelaHofsteniamiamia_7207__ARD1_UROFA_D-arabinitol_dehydrogenase_1_OS_	OG10	1.0		
TelonemiaP00656Telonemasubtile_26567093__LGOD_ECOLI_L-galactonate-5-dehydrogenase_OS_	OG10	1.0		
CentroplasthelidaEP00300ChoanocystisspHF7_5628274__YJMD_BACSU_Uncharacterized_zinc-type_alcohol_dehydrogenase-like_protein_YjmD_OS_	OG11	1.0		
MetazoaPoriferaStylissacarteri_5076959__ADH1_NAJNA_Alcohol_dehydrogenase_1_OS_	OG11	1.0		
ChoanoflagellataEP00037Helgoecanana_10785046__DOIAD_STRSD_2-deoxy-scyllo-inosamine_dehydrogenase_OS_	OG12	1.0		
MetazoaPoriferaSyconciliatum_5140770__ELTD_MYCS2_Erythritol_L-threitol_dehydrogenase_OS_	OG12	1.0		
MetazoaPoriferaLeucosoleniacomplicata_4980619__ELTD_MYCS2_Erythritol_L-threitol_dehydrogenase_OS_	OG12	1.0		
MetazoaPoriferaSyconciliatum_5122194__ELTD_MYCS2_Erythritol_L-threitol_dehydrogenase_OS_	OG12	1.0		
MetazoaPoriferaSyconciliatum_5104095__ELTD_MYCS2_Erythritol_L-threitol_dehydrogenase_OS_	OG12	1.0		
